actor_id,actor_name
zVyoR2ZNiVGymjZK4MMJHIdpxoW,Tom Hanks
6qlDjidQSKNcJFHzTXh0gQS83ub,Tim Allen
iJLQV4dcbTUgxlWJakjDldzlMXS,Don Rickles
iYdeP6K0qz44Wg2Nw9LPJGMBkQ5,Robin Williams
1jYyW3B5omvMTVfEswqQQBrHN2,Jonathan Hyde
5dI5s8Oq2Ook5PFzTWMW6DCXVjm,Kirsten Dunst
c3dCBlyf12yTNhS2sdSXRFaBatj,Walter Matthau
4yowflZgO62PGTPADoFzkYSrZv,Jack Lemmon
7cq76gMW4Mal5cctMLCK8wilJ6,Ann-Margret Olsson
5su69sRCQReFTS94j2OtcgIQLne,Whitney Houston
7Oz53NKdglRzAzI2MKjM3eQXwn,Angela Bassett
29h4c21HpwHJk4q0kj7ymSflDnB,Loretta Devine
d0KthX8hVWU9BxTCG1QUO8FURRm,Steve Martin
7gEdH5vGwpUpogscTb2JivnoRBb,Diane Keaton
3bNEYDwMWrJeOpX1huLlKK48QnO,Martin Short
fMDFeVf0pjopTJbyRSLFwNDm8Wr,Al Pacino
cT8htcckIuyI1Lqwt1CvD02ynTh,Robert De Niro
uqX8JxI6bWs1I3BOAtzJJD0DDo6,Val Kilmer
6MQgrJvdTPFvyErIgn0B2lTLVhr,Harrison Ford
u7Oz6nHfMSlXuT34K7Ffp4f2qgP,Julia Ormond
iJezGc9XjY0DFPs00SypkuKImFK,Greg Kinnear
E4cAiS5ge08euPEXrGLKhQX7cj,Jonathan Taylor Thomas
sboIOdBAvNZj894aP5XCqxF9zHG,Brad Renfro
kWsfrwshpWqB0Jhn43jcwC8BZsT,Rachael Leigh Cook
vugNQUOjsNGRO4nDAi3oHCDucI7,Jean-Claude Van Damme
qk1KVY5N83MsO4Qvg4W1JA8SNFH,Powers Boothe
gDAchPBmFMKtUsqgHfzn3mX6SEM,Raymond J. Barry
dzXVwwJLPwiZeXOnf7YxorqVEEM,Pierce Brosnan
kTjiABk3TJ3yI0Cto5RsvyT6V3o,Sean Bean
Av7fykzXL701au42sTbhufHpwwv,Izabella Scorupco
4iA9QztvUnhf3YS2U0Z3lieTknc,Michael Douglas
bs4hB5t2mHMn6C2ZGOlP5LfSEPe,Annette Bening
m2Y3Q0uyuW6htrn2W9UWCWMkpZu,Martin Sheen
u5vWl5dw69Nf89f905Qb5JqEVL3,Leslie Nielsen
c21qNcMJlHnRolfhQhZOVacjtwI,Mel Brooks
blg3oda5734ndB8l4rWkFXjSsqv,Amy Yasbeck
rjX2Oz3tCZMfSwOoIAyEhdtXnTE,Kevin Bacon
9YR6zY2KjPnNh8cqfhAjpqj16e2,Bob Hoskins
k8ct3vqrs0TOATaDCe0gcu5K0Dz,Bridget Fonda
9ukJS2QWTJ22HcwR1ktMmoJ6RSL,Anthony Hopkins
2w40UhN3WoW9G9EkLzhDcfF3t9W,Joan Allen
qk1KVY5N83MsO4Qvg4W1JA8SNFH,Powers Boothe
bx9ufx5cS7FfHDFFeT71syBh428,Geena Davis
9HqtCIyNh7VxkmCN8B3YEzl4Zps,Matthew Modine
2Q0FS8YF74u4uWzFy0NlVhZ4Smb,Frank Langella
cT8htcckIuyI1Lqwt1CvD02ynTh,Robert De Niro
j0F7ZFbnQpiHPtiAhWMD9wtuyFV,Sharon Stone
6wPLWhZx5XvNsmEt8QwFoyvizDr,Joe Pesci
odPswHsSsed56uHeVWmABKKlXlX,Emma Thompson
7tADZs4ILE93oJ5pAh6mKQFEq2m,Alan Rickman
dgIrPQjcdfCnKiGc8ugg5W3GzFX,Kate Winslet
qSizF2i9gz6c6DbAC5RoIq8sVqX,Tim Roth
gSgjPBfke1fz55WyO8AnFWtidOq,Jennifer Beals
50GhCzQuaI5Ul01NEyJZloeVP7g,Antonio Banderas
u0AqTz6Y7GHPCHINS01P7gPvDSb,Jim Carrey
mJ1AwYRoWycLvCs5VRGyeM7KxrG,Ian McNeice
no6qlnMrWeUzSt1FjD2Vf9x992e,Simon Callow
uBhM3TshYvRhOewXAimtxci9bQo,Wesley Snipes
igxYDQBbTEdAqaJxaW6ffqswmUU,Woody Harrelson
pUL1vDXRmQWLyLVOpSiAyYIqgSJ,Jennifer Lopez
mfwIya7uMuJVkriE6xuB9PxKn6,John Travolta
1wreq83h9dgTMkDCJL6uwr6oz45,Gene Hackman
bA6GrFuTk9xWYxGOJCLjjdmdAeW,Rene Russo
sHWCLx54yLtaFtppp5ADjAsrWIc,Sigourney Weaver
oNoFAi0AQXDP68tv7c7t5WjYioy,Holly Hunter
iDW1L8HAbj8y6L9GlEMWPeI1zpK,Will Patton
qDRGPAcQoW8Wuig9bvoLpHwf1gU,Sylvester Stallone
50GhCzQuaI5Ul01NEyJZloeVP7g,Antonio Banderas
v2FcWGiiuvl6P7NV0966jNL09uh,Julianne Moore
yJhfuqS3yXW7kLSyvRU6n3b35mq,Mary Steenburgen
aHQtxIjMEDWdXqvFJplx0Kcwdn6,Sean Patrick Flanery
ieo8Zbw30UAPAscGOI6090VhL4I,Lance Henriksen
y1RtezurZYveYkVNRht7CwEgSYY,Nicolas Cage
oYSPh5yw1t8biktENTGS8X7n4zg,Elisabeth Shue
8TYtEyKZle2B3cUYT7FBM9HJRtZ,Julian Sands
8suOhUmPbfKqDQ17jQ1Gy0mI3P4,Laurence Fishburne
zAPrLHBCUuAW6GkuFtwqeutWTWC,Irène Jacob
AbCqqFxNi5w3nDUFdQt0DGMFh5H,Kenneth Branagh
dzB58d6fNrTEi7nBAU1tySJc2at,Christina Ricci
7rRirYcL5JJS5P2W67yhsmAfO3x,Thora Birch
51X4CaXZNRawchUDSj1tOPeMguK,Gaby Hoffmann
tOiRDlvdVFgCp4tkbNQOmmZ7GSL,Amanda Root
oLOZWsy1F3e6v21STlg8wm05nE9,Ciarán Hinds
ww9Xo8KoZUKYiLeniSmC7lvPeUO,Susan Fleetwood
34matYg8O1gsB24AAEssjao73yb,Ron Perlman
rIPUhNwGSglgKLgMQWz0JNCqIzf,Dominique Pinon
iQ6ZKOZBUtbTlGZt4SAGUQio4UK,Judith Vittet
uP3Fs3QUsGBxhNqGFWMnN1Z2l8z,Gong Li
nKIGAk9nQkhWCN2cI2U0Kl26bw0,Li Baotian
3a9s6XlvOjWmGAzcdqcfXAakFBe,Sun Chun
oGUmQBU87QXAsnaGleYaAjAXSlj,Michelle Pfeiffer
z0BI9G0Q617p02dV7q027uuWPD3,George Dzundza
q4oCmhqEPXKSRK2hTZzTz2Zt4Ba,Courtney B. Vance
jLnMgbZ6FnBsZBPkFzvEXk9A1SW,Bruce Willis
k7iQLoCP11e7iVMp1LQimUQLZe8,Madeleine Stowe
ajNaPmXVVMJFg9GWmu6MJzTaXdV,Brad Pitt
qOUpGURljNhgFzZ5SmV5miAmT9x,Christine Cavanaugh
93k0aFwiuDT5sIS3oTX1jKgUYXE,Miriam Margolyes
980QYqXIZCMn5Knx0vjROkw9vKo,Danny Mann
oHYYL8bNakAREaLUBtMul5uMG0A,Susan Sarandon
9glqNTVpFpdN1nFklKaHPUyCwR6,Sean Penn
yV95RE8UGyN8rZYF9W4fOGaAV6U,Robert Prosky
9XZOeQtmvHdBkuMrlxO5PHPZwJo,Kirstie Alley
ghTMepliFNcRQHNELs8pgNDsZyW,Steve Guttenberg
suf5kWfRYErCp6D5YnOZlpGA8dH,Ashley Olsen
pyxqkP4i0ubVdoRe5hoiiiwkHkb,Alicia Silverstone
cSzVCx2LJkXZoUGA4z4i8cm9wMD,Stacey Dash
9vjgU9EcHXYyh6Vc4nmpoPVNqsQ,Brittany Murphy
oqMPIsXrl9SZkRfIKN08eFROmH6,James Earl Jones
zX8lrPMMC6Uh1ZrNkcrvempl02X,Charles S. Dutton
0Jack Robinson,Jack Robinson
5cnnnpnJG6TiYUSS7qgJheUZgnv,Ian McKellen
bs4hB5t2mHMn6C2ZGOlP5LfSEPe,Annette Bening
2aiaMmDXEbzSkevEI3iVKLuWeCt,Jim Broadbent
6BWajF1sbuwsvXHmdQDxP5MfZ5R,Larenz Tate
jJLJuR7FNHYL1fB5igjj7IXzOel,Keith David
xtAK4hFyDjSYhZ9oRhppuVcLi80,Chris Tucker
5qHNjhtjMD4YWH3UP0rm4tKwxCL,Robert Downey Jr.
veFWqcGqFiKdYMJ6uqYdabK9Jma,Meg Ryan
bNZ03phkLewj8eUR6mGbKZ7jtmv,Sam Neill
hUfnLhYOGwaTWMdowayvqY42Eti,Christopher Lambert
cnL8HqBowYu9ssTkShDfEmxTgdZ,Robin Shou
nflhvj2uJAr2S9aWvnbQWCUXC9a,Linden Ashby
qaO2MTBhIKcAJg2rjMmoKCIBcXF,Nicole Kidman
wVoSUexYH79igPgxIXKWRlV2uBk,Matt Dillon
nXMzvVF6xR3OXOedozfOcoA20xh,Joaquin Phoenix
5yteOSY2lgGOgSWmRTlxqfY59MS,Winona Ryder
ydabiabIsMBe2HsNmx43gBpqzxx,Anne Bancroft
cAR8sU569iSJqLy1PwtcBT1syjJ,Ellen Burstyn
ajNaPmXVVMJFg9GWmu6MJzTaXdV,Brad Pitt
oIciQWr8VwKoR8TmAw1owaiZFyb,Morgan Freeman
slPWN0VvYJtNOEuxlFSsXSNQMaF,Gwyneth Paltrow
nCm5940cLixwcSoB5kIqLAKNmGL,Irene Bedard
uHldNnlyi73x9hoZBGjISGoh908,Mel Gibson
cgCTQt3RZVkhkusG77l4HwHEH6A,David Ogden Stiers
vbfCShcj8n0eUOoKRCAGNh1auFY,Pascale Bussières
vtZg6kT3EhbNH30dMcfedGaCn3I,Rachael Crawford
zOWZzRmliKf9032IOOq0a3jXhVv,Henry Czerny
34GOuRYIkAcKW8newjrnYeC1QPK,Stephen Baldwin
8ERAowTTGib0IjSGr2jI5mrhm2O,Kevin Spacey
9r9oDGENg92VYYFMkV4C09IUlrb,Gabriel Byrne
wcPQgZLDibuej1RwNTy1R2U2ZJw,Woody Allen
nThgMCWdMpNgjGmHQrKMUAYKoQa,Mira Sorvino
DDeITcCpnBd0CkAIRPhggy9bt5,Helena Bonham Carter
riYINKQIv8mxYwtfj0L899K0iPu,Enrico Lo Verso
vXDSKdLcTcXFebUEgR61djSzXBQ,Michele Placido
0Piro Milkani,Piro Milkani
sQTqkjNyUSl25cIDr8xhjmO4DhA,Olivia d'Abo
ghTMepliFNcRQHNELs8pgNDsZyW,Steve Guttenberg
mm44hI1HfbZw5ZJAraEWIgTqDi4,Bug Hall
