,movieId,title,imdbId,tmdbId,release_year
0,1,Toy Story ,114709,862,1995
1,2,Jumanji ,113497,8844,1995
2,3,Grumpier Old Men ,113228,15602,1995
3,4,Waiting to Exhale ,114885,31357,1995
4,5,Father of the Bride Part II ,113041,11862,1995
5,6,Heat ,113277,949,1995
6,7,Sabrina ,114319,11860,1995
7,8,Tom and Huck ,112302,45325,1995
8,9,Sudden Death ,114576,9091,1995
9,10,GoldenEye ,113189,710,1995
10,11,"American President, The ",112346,9087,1995
11,12,Dracula: Dead and Loving It ,112896,12110,1995
12,13,Balto ,112453,21032,1995
13,14,Nixon ,113987,10858,1995
14,15,Cutthroat Island ,112760,1408,1995
15,16,Casino ,112641,524,1995
16,17,Sense and Sensibility ,114388,4584,1995
17,18,Four Rooms ,113101,5,1995
18,19,Ace Ventura: When Nature Calls ,112281,9273,1995
19,20,Money Train ,113845,11517,1995
20,21,Get Shorty ,113161,8012,1995
21,22,Copycat ,112722,1710,1995
22,23,Assassins ,112401,9691,1995
23,24,Powder ,114168,12665,1995
24,25,Leaving Las Vegas ,113627,451,1995
25,26,Othello ,114057,16420,1995
26,27,Now and Then ,114011,9263,1995
27,28,Persuasion ,114117,17015,1995
28,29,"City of Lost Children, The (Cité des enfants perdus, La) ",112682,902,1995
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) ,115012,37557,1995
30,31,Dangerous Minds ,112792,9909,1995
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) ,114746,63,1995
32,34,Babe ,112431,9598,1995
33,36,Dead Man Walking ,112818,687,1995
34,38,It Takes Two ,113442,33689,1995
35,39,Clueless ,112697,9603,1995
36,40,"Cry, the Beloved Country ",112749,34615,1995
37,41,Richard III ,114279,31174,1995
38,42,Dead Presidents ,112819,11443,1995
39,43,Restoration ,114272,35196,1995
40,44,Mortal Kombat ,113855,9312,1995
41,45,To Die For ,114681,577,1995
42,46,How to Make an American Quilt ,113347,11861,1995
43,47,Seven (a.k.a. Se7en) ,114369,807,1995
44,48,Pocahontas ,114148,10530,1995
45,49,When Night Is Falling ,114916,8391,1995
46,50,"Usual Suspects, The ",114814,629,1995
47,52,Mighty Aphrodite ,113819,11448,1995
48,53,Lamerica ,110299,49133,1994
49,54,"Big Green, The ",112499,26441,1995
